Provider CCN,CCN Facility Type,CCN category,Number of Beds,Total Costs,Cost of Charity Care,Total Income,Net Income,Net Patient Revenue,Total Days Title XVIII,Total Discharges Title XVIII,Fiscal Year Begin Date,Fiscal Year End Date
261337,CAH,A,25.0,63591328.0,5747911.0,2568376.0,1813763.0,68007951.0,1560.0,375.0,01-01-2021,12/31/2021
271345,CAH,A,25.0,34891364.0,44345.0,1714294.0,-381556.0,42890516.0,1092.0,185.0,07-01-2021,06/30/2022
310110,STH,C,152.0,182430034.0,11037916.0,-12453635.0,-12453635.0,190923201.0,12185.0,2364.0,01-01-2021,12/31/2021
370183,STH,C,15.0,17377157.0,499223.0,-1832870.0,-1832870.0,16525908.0,542.0,157.0,12-01-2020,11/30/2021
390192,STH,C,44.0,3794607.0,69222.0,-226102.0,-226102.0,3086002.0,88.0,29.0,07-01-2021,09/30/2021
390333,STH,C,40.0,40321897.0,12732.0,4279412.0,4279412.0,42607341.0,345.0,101.0,01-01-2021,12/31/2021
670054,STH,C,20.0,31936102.0,157.0,3232548.0,3226451.0,34889405.0,226.0,105.0,01-01-2021,12/31/2021
21307,CAH,A,13.0,10225767.0,28844.0,4083676.0,3719797.0,12713811.0,379.0,24.0,01-01-2021,12/31/2021
61343,CAH,A,11.0,8812898.0,7207.0,2523602.0,2523602.0,6303574.0,214.0,27.0,01-01-2021,12/31/2021
431339,CAH,A,25.0,20153530.0,156004.0,4264636.0,4264636.0,21040901.0,810.0,137.0,01-01-2021,12/31/2021
10038,STH,C,125.0,35223822.0,1721963.0,-2036419.0,-2036419.0,30905582.0,3483.0,633.0,10-01-2020,09/30/2021
50581,STH,C,168.0,206239308.0,2751648.0,32019895.0,32019895.0,244321242.0,10944.0,1615.0,06-01-2021,05/31/2022
100022,STH,C,1504.0,1911411218.0,162997487.0,195892648.0,195892648.0,1315420355.0,44652.0,5038.0,10-01-2020,09/30/2021
100026,STH,C,169.0,192151197.0,22343711.0,-34884099.0,-34884099.0,173386568.0,13313.0,2727.0,07-01-2021,06/30/2022
100284,STH,C,98.0,40226622.0,1692552.0,-5108536.0,-5108536.0,34733771.0,5438.0,871.0,01-01-2021,12/31/2021
110089,STH,C,92.0,101859843.0,6765734.0,9817968.0,9817968.0,143737445.0,4481.0,973.0,01-01-2021,12/31/2021
150044,STH,C,248.0,313907601.0,3207179.0,-37330904.0,-37319375.0,335038102.0,21356.0,4511.0,09-01-2021,08/31/2022
150061,STH,C,42.0,57444298.0,459595.0,-1866824.0,-1866824.0,65069044.0,1505.0,426.0,01-01-2021,12/31/2021
151328,CAH,A,25.0,65277354.0,1668709.0,29489382.0,29489382.0,87941518.0,3212.0,706.0,01-01-2021,12/31/2021
160112,STH,C,49.0,93256236.0,331343.0,5581821.0,19709.0,108376684.0,3162.0,686.0,07-01-2021,06/30/2022
170016,STH,C,228.0,191260500.0,5458258.0,28070817.0,28070817.0,268483951.0,11898.0,2668.0,07-01-2021,06/30/2022
170105,STH,C,37.0,38405903.0,159431.0,142093.0,142093.0,37573079.0,1624.0,327.0,07-01-2021,06/30/2022
180088,STH,C,1465.0,1940854487.0,9327989.0,325067409.0,325067409.0,2479474863.0,71449.0,12775.0,01-01-2021,12/31/2021
180095,STH,C,48.0,14216661.0,3278.0,288294.0,288294.0,12596978.0,1344.0,173.0,01-01-2021,12/31/2021
180141,STH,C,333.0,569746430.0,10716821.0,78868194.0,78868194.0,773805771.0,18550.0,2624.0,07-01-2021,06/30/2022
190013,STH,C,107.0,67433419.0,2395.0,-1444619.0,-1500115.0,60948119.0,3468.0,677.0,01-01-2021,12/31/2021
190298,STH,C,24.0,52118282.0,1838.0,944645.0,944645.0,57854981.0,571.0,186.0,06-01-2021,06/30/2022
230132,STH,C,357.0,361856297.0,3239448.0,-9017698.0,-9017698.0,395054478.0,13673.0,1933.0,07-01-2021,06/30/2022
231338,CAH,A,25.0,89371959.0,595677.0,19411489.0,19411489.0,114841589.0,813.0,258.0,01-01-2021,12/31/2021
260047,STH,C,100.0,165023339.0,3765743.0,-30942871.0,-32762024.0,203603773.0,6052.0,1415.0,07-01-2021,06/30/2022
260160,STH,C,48.0,30535954.0,237153.0,5892627.0,5809051.0,30524700.0,1352.0,321.0,01-01-2021,12/31/2021
280065,STH,C,96.0,172753541.0,5340097.0,62814292.0,62814292.0,263405573.0,9765.0,2153.0,01-01-2021,12/31/2021
351336,CAH,A,25.0,62470985.0,1774698.0,2628892.0,2628892.0,67525100.0,1788.0,400.0,07-01-2021,06/30/2022
360002,STH,C,39.0,81743229.0,2655032.0,12065971.0,12065971.0,91996522.0,2905.0,732.0,01-01-2021,12/31/2021
360011,STH,C,177.0,214025834.0,8659480.0,9481637.0,9481637.0,272949505.0,10504.0,2322.0,07-01-2021,06/30/2022
360014,STH,C,67.0,104210543.0,4499221.0,37600530.0,37600530.0,156728602.0,2670.0,797.0,07-01-2021,06/30/2022
370202,STH,C,150.0,164467449.0,3947615.0,24751151.0,24751151.0,203144869.0,12940.0,2564.0,01-01-2021,12/31/2021
370236,STH,C,77.0,97200052.0,2674648.0,5651857.0,6385293.0,111230003.0,5328.0,954.0,07-01-2021,06/30/2022
390076,STH,C,155.0,58024513.0,81186.0,-25387249.0,-25387249.0,38449004.0,4110.0,602.0,07-01-2021,01/31/2022
390123,STH,C,185.0,175421262.0,190223.0,-40606855.0,-40606855.0,140200394.0,9893.0,2073.0,07-01-2021,06/30/2022
420037,STH,C,43.0,69468049.0,3067368.0,29938952.0,29922732.0,111809099.0,2018.0,623.0,10-01-2020,09/30/2021
420089,STH,C,120.0,123205998.0,2846758.0,50808926.0,50808926.0,186647476.0,3656.0,962.0,01-01-2021,12/31/2021
450372,STH,C,123.0,194788650.0,14853484.0,30788212.0,30788212.0,245303528.0,10400.0,2155.0,07-01-2021,06/30/2022
450422,STH,C,24.0,58414443.0,325073.0,24181027.0,21189623.0,83380081.0,369.0,118.0,01-01-2021,12/31/2021
500027,STH,C,627.0,1073363637.0,10866097.0,-69276940.0,-69276940.0,1322732358.0,24139.0,3339.0,01-01-2021,12/31/2021
60009,STH,C,223.0,351870772.0,4920625.0,15834410.0,-1041295.0,402262629.0,9709.0,2082.0,01-01-2021,12/31/2021
100018,STH,C,524.0,515300244.0,17028189.0,70432676.0,107718414.0,609381590.0,51047.0,10345.0,10-01-2020,09/30/2021
100040,STH,C,453.0,474503920.0,18054301.0,-21436392.0,-21295291.0,481284767.0,23853.0,4973.0,07-01-2021,06/30/2022
100118,STH,C,99.0,187008082.0,6294015.0,67572316.0,67572316.0,281607703.0,15832.0,3111.0,01-01-2021,12/31/2021
100157,STH,C,774.0,756001926.0,47049323.0,96700607.0,96700607.0,875440972.0,49059.0,9218.0,10-01-2020,09/30/2021
100269,STH,C,204.0,170773730.0,9904259.0,54166443.0,54166443.0,221331406.0,8751.0,1745.0,06-01-2021,05/31/2022
171332,CAH,A,15.0,9026802.0,17106.0,-353393.0,-353393.0,6564895.0,452.0,36.0,01-01-2021,12/31/2021
180043,STH,C,49.0,65069060.0,352206.0,-6639216.0,-6639216.0,68777691.0,1838.0,335.0,10-01-2020,09/30/2021
210018,STH,C,104.0,158178794.0,3702901.0,-11730952.0,-11730952.0,189769524.0,13389.0,2508.0,07-01-2021,06/30/2022
340115,STH,C,412.0,524953876.0,16007874.0,250413282.0,191657961.0,777631182.0,35895.0,7142.0,10-01-2020,09/30/2021
340143,STH,C,200.0,258251795.0,9371630.0,31897564.0,31897564.0,323000153.0,9544.0,1854.0,07-01-2021,06/30/2022
360134,STH,C,387.0,680294068.0,9023742.0,85472328.0,-14760753.0,828756465.0,14393.0,2700.0,07-01-2021,06/30/2022
360145,STH,C,197.0,202520979.0,9339948.0,10668943.0,10668943.0,200501610.0,9992.0,2242.0,01-01-2021,12/31/2021
360179,STH,C,413.0,737333951.0,10851523.0,77123335.0,-4268262.0,790907167.0,27575.0,5634.0,07-01-2021,06/30/2022
360192,STH,C,106.0,157664479.0,7701023.0,21523969.0,21523969.0,183307194.0,9260.0,2005.0,01-01-2021,01/31/2022
360239,STH,C,168.0,139157406.0,3879383.0,48041295.0,48041294.0,192506460.0,6396.0,1551.0,01-01-2021,12/31/2021
360266,STH,C,60.0,77463444.0,322455.0,16429588.0,16414509.0,98256582.0,1009.0,499.0,07-01-2021,06/30/2022
360360,STH,C,120.0,181108724.0,4452685.0,18473185.0,18473185.0,227416868.0,10051.0,2157.0,01-01-2021,12/31/2021
390107,STH,C,355.0,336878033.0,2019722.0,-45079871.0,-45079871.0,397085166.0,16737.0,3122.0,07-01-2021,06/30/2022
390139,STH,C,244.0,342707424.0,2669363.0,-40537339.0,-40537339.0,368476638.0,21803.0,4600.0,07-01-2021,06/30/2022
390266,STH,C,67.0,49179271.0,139903.0,-1171886.0,-1171886.0,49912941.0,989.0,283.0,07-01-2021,06/30/2022
420007,STH,C,668.0,944021327.0,35746489.0,140222806.0,140222806.0,1117148745.0,46456.0,7920.0,10-01-2020,09/30/2021
40004,STH,C,377.0,314693431.0,7870996.0,57046094.0,57046094.0,356916263.0,20455.0,4242.0,01-01-2021,12/31/2021
40088,STH,C,102.0,58405351.0,1044360.0,3550355.0,3550355.0,66544956.0,5749.0,977.0,07-01-2021,06/30/2022
60107,STH,C,13.0,144698379.0,22841.0,-5008000.0,-5008000.0,156097000.0,176.0,17.0,07-01-2021,06/30/2022
61313,CAH,A,19.0,17384757.0,83205.0,6908624.0,6908624.0,22073255.0,522.0,98.0,01-01-2021,12/31/2021
180010,STH,C,255.0,324588766.0,3591470.0,-29255013.0,-29255013.0,310757464.0,19169.0,2909.0,07-01-2021,06/30/2022
180018,STH,C,90.0,143134309.0,410348.0,9184538.0,9184538.0,175226593.0,5428.0,1082.0,07-01-2021,06/30/2022
180035,STH,C,525.0,719698980.0,8145172.0,359731662.0,359731662.0,1036046063.0,36207.0,6593.0,01-01-2021,12/31/2021
180067,STH,C,962.0,2206930877.0,20851225.0,399534167.0,399534167.0,2036598972.0,46515.0,5528.0,07-01-2021,06/30/2022
180070,STH,C,49.0,39599174.0,61272.0,7848583.0,7848583.0,52034256.0,2264.0,477.0,06-01-2021,05/31/2022
180116,STH,C,95.0,61627186.0,294578.0,18215664.0,18215664.0,115341564.0,6657.0,1090.0,03-01-2021,02/28/2022
181327,CAH,A,25.0,21201677.0,120355.0,2162886.0,802721.0,20812638.0,1125.0,264.0,01-01-2021,12/31/2021
190111,STH,C,790.0,768306914.0,9003356.0,531278497.0,531278497.0,926991144.0,60279.0,10602.0,10-01-2020,09/30/2021
190125,STH,C,324.0,247837922.0,1647217.0,-15530325.0,-15530325.0,274661771.0,16428.0,3080.0,07-01-2021,06/30/2022
250027,STH,C,14.0,27565014.0,1096866.0,286956.0,286956.0,22942494.0,845.0,201.0,01-01-2021,12/31/2021
250117,STH,C,49.0,43350155.0,2627535.0,-2493381.0,-2493381.0,44288696.0,3616.0,507.0,10-01-2020,09/30/2021
320065,STH,C,61.0,57396948.0,2134026.0,-5325607.0,-6257880.0,44283469.0,1396.0,337.0,07-01-2021,06/30/2022
331310,CAH,A,25.0,24009400.0,98181.0,8295576.0,8287568.0,24852065.0,4326.0,67.0,01-01-2021,12/31/2021
360017,STH,C,449.0,674337353.0,35911486.0,167118447.0,167118447.0,935140985.0,19251.0,3036.0,07-01-2021,06/30/2022
360026,STH,C,13.0,34502197.0,1118829.0,436393.0,436393.0,33247709.0,341.0,156.0,01-01-2021,12/31/2021
